Unnamed: 0,gname,country_txt,num_attacks,iso_alpha,Country,Country Name,Uncertainty Avoidance Societal Practices,Future Orientation Societal Practices,Power Distance Societal Practices,Collectivism I Societal Practices (Institutional Collectivism),Humane Orientation Societal Practices,Performance Orientation Societal Practices,Collectivism II Societal Practices (In-group Collectivism),Gender Egalitarianism Societal Practices,Assertiveness Societal Practices ,Country Cluster
0,Abu Sayyaf Group (ASG),Malaysia,7,MYS,89,Malaysia,4.78,4.58,5.17,4.61,4.87,4.34,5.51,3.51,3.87,Southern Asia
1,Abu Sayyaf Group (ASG),Philippines,45,PHL,70,Philippines,3.89,4.15,5.44,4.65,5.12,4.47,6.36,3.64,4.01,Southern Asia
10,Al-Khobar,Philippines,2,PHL,70,Philippines,3.89,4.15,5.44,4.65,5.12,4.47,6.36,3.64,4.01,Southern Asia
23,Ansar Al-Khilafa (Philippines),Philippines,1,PHL,70,Philippines,3.89,4.15,5.44,4.65,5.12,4.47,6.36,3.64,4.01,Southern Asia
56,Bangsamoro Islamic Freedom Movement (BIFM),Philippines,94,PHL,70,Philippines,3.89,4.15,5.44,4.65,5.12,4.47,6.36,3.64,4.01,Southern Asia
70,East Asia Division of the Islamic State,Philippines,7,PHL,70,Philippines,3.89,4.15,5.44,4.65,5.12,4.47,6.36,3.64,4.01,Southern Asia
95,Islamic State of Iraq and the Levant (ISIL),Philippines,6,PHL,70,Philippines,3.89,4.15,5.44,4.65,5.12,4.47,6.36,3.64,4.01,Southern Asia
144,Maute Group,Philippines,3,PHL,70,Philippines,3.89,4.15,5.44,4.65,5.12,4.47,6.36,3.64,4.01,Southern Asia
145,Moro Islamic Liberation Front (MILF),Philippines,3,PHL,70,Philippines,3.89,4.15,5.44,4.65,5.12,4.47,6.36,3.64,4.01,Southern Asia
173,Muslim extremists,Philippines,1,PHL,70,Philippines,3.89,4.15,5.44,4.65,5.12,4.47,6.36,3.64,4.01,Southern Asia
7,Al-Aqsa Martyrs Brigade,Israel,3,ISR,17,Israel,4.01,3.85,4.73,4.46,4.1,4.08,4.7,3.19,4.23,Latin Europe
74,Hamas (Islamic Resistance Movement),Israel,96,ISR,17,Israel,4.01,3.85,4.73,4.46,4.1,4.08,4.7,3.19,4.23,Latin Europe
112,Jewish Extremists,Israel,1,ISR,17,Israel,4.01,3.85,4.73,4.46,4.1,4.08,4.7,3.19,4.23,Latin Europe
187,Palestinian Islamic Jihad (PIJ),Israel,35,ISR,17,Israel,4.01,3.85,4.73,4.46,4.1,4.08,4.7,3.19,4.23,Latin Europe
214,Wa'ed al-Tahrir,Israel,1,ISR,17,Israel,4.01,3.85,4.73,4.46,4.1,4.08,4.7,3.19,4.23,Latin Europe
9,Al-Badr,India,6,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
19,Al-Umar Mujahideen,India,3,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
24,Ansar Ghazwat-ul-Hind,India,3,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
80,Hind Province of the Islamic State,India,7,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
81,Hindu extremists,India,3,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
83,Hizbul Mujahideen (HM),India,74,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
103,Jaish-e-Mohammad (JeM),India,75,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
105,Jama'atul Mujahideen Bangladesh (JMB),India,3,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
132,Khalistan Liberation Force,India,2,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
134,Khorasan Chapter of the Islamic State,India,8,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
139,Lashkar-e-Mustafa (LeM),India,1,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
140,Lashkar-e-Taiba (LeT),India,54,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
189,Popular Front of India (PFI),India,1,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
193,Rashtriya Swayamsevak Sangh,India,4,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
195,Sanatan Sanstha,India,2,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
196,Sarallah India Hezbollah,India,1,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
207,Tehrik al-Mojahedin,India,3,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
211,The Resistance Front (TRF),India,22,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
213,Vishwa Hindu Parishad (VHP),India,1,IND,6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia
12,Al-Qaida in the Arabian Peninsula (AQAP),United States,1,USA,99,USA,4.15,4.15,4.88,4.2,4.17,4.49,4.25,3.34,4.55,Anglo
32,Anti-Christian extremists,United States,1,USA,99,USA,4.15,4.15,4.88,4.2,4.17,4.49,4.25,3.34,4.55,Anglo
42,Anti-Muslim extremists,United States,10,USA,99,USA,4.15,4.15,4.88,4.2,4.17,4.49,4.25,3.34,4.55,Anglo
51,Anti-Semitic extremists,United States,15,USA,99,USA,4.15,4.15,4.88,4.2,4.17,4.49,4.25,3.34,4.55,Anglo
129,Jihadi-inspired extremists,United States,10,USA,99,USA,4.15,4.15,4.88,4.2,4.17,4.49,4.25,3.34,4.55,Anglo
136,Ku Klux Klan,United States,1,USA,99,USA,4.15,4.15,4.88,4.2,4.17,4.49,4.25,3.34,4.55,Anglo
216,White supremacists/nationalists,United States,26,USA,99,USA,4.15,4.15,4.88,4.2,4.17,4.49,4.25,3.34,4.55,Anglo
25,Ansar al-Furqan,Iran,1,IRN,14,IRAN,3.67,3.7,5.43,3.88,4.23,4.58,6.03,2.99,4.04,Middle East
102,Jaish al-Adl,Iran,4,IRN,14,IRAN,3.67,3.7,5.43,3.88,4.23,4.58,6.03,2.99,4.04,Middle East
160,Muslim extremists,Iran,1,IRN,14,IRAN,3.67,3.7,5.43,3.88,4.23,4.58,6.03,2.99,4.04,Middle East
30,Ansaru (Jama'atu Ansarul Muslimina Fi Biladis Sudan),Nigeria,6,NGA,85,Nigeria,4.29,4.09,5.8,4.14,4.1,3.92,5.55,3.01,4.79,Sub-Sahara Africa 
62,Boko Haram,Nigeria,569,NGA,85,Nigeria,4.29,4.09,5.8,4.14,4.1,3.92,5.55,3.01,4.79,Sub-Sahara Africa 
170,Muslim extremists,Nigeria,1,NGA,85,Nigeria,4.29,4.09,5.8,4.14,4.1,3.92,5.55,3.01,4.79,Sub-Sahara Africa 
