Country,Country Name,Uncertainty Avoidance Societal Practices,Future Orientation Societal Practices,Power Distance Societal Practices,Collectivism I Societal Practices (Institutional Collectivism),Humane Orientation Societal Practices,Performance Orientation Societal Practices,Collectivism II Societal Practices (In-group Collectivism),Gender Egalitarianism Societal Practices,Assertiveness Societal Practices ,Country Cluster,iso_alpha
3,Costa Rica,3.82,3.6,4.74,3.93,4.39,4.12,5.32,3.56,3.75,Latin America,CRI
5,Italy,3.79,3.25,5.43,3.68,3.63,3.58,4.94,3.24,4.07,Latin Europe,ITA
6,India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.9,3.73,Southern Asia,IND
7,Namibia,4.2,3.49,5.29,4.13,3.96,3.67,4.52,3.88,3.91,Sub-Sahara Africa ,NAM
8,Czech Republic,4.44,3.63,3.59,3.6,4.17,4.11,3.18,3.79,3.69,,CZE
9,Venezuela,3.44,3.35,5.4,3.96,4.25,3.32,5.53,3.62,4.33,Latin America,VEN
10,Taiwan,4.34,3.96,5.18,4.59,4.11,4.56,5.59,3.18,3.92,Confucian Asia,TWN
11,Singapore,5.31,5.07,4.99,4.9,3.49,4.9,5.64,3.7,4.17,Confucian Asia,SGP
12,Hong Kong,4.32,4.03,4.96,4.13,3.9,4.8,5.32,3.47,4.67,Confucian Asia,HKG
13,Ecuador,3.68,3.74,5.6,3.9,4.65,4.2,5.81,3.07,4.09,Latin America,ECU
14,IRAN,3.67,3.7,5.43,3.88,4.23,4.58,6.03,2.99,4.04,Middle East,IRN
15,Mexico,4.18,3.87,5.22,4.06,3.98,4.1,5.71,3.64,4.45,Latin America,MEX
16,El Salvador,3.62,3.8,5.68,3.71,3.71,3.72,5.35,3.16,4.62,Latin America ,SLV
17,Israel,4.01,3.85,4.73,4.46,4.1,4.08,4.7,3.19,4.23,Latin Europe,ISR
18,Hungary,3.12,3.21,5.56,3.53,3.35,3.43,5.25,4.08,4.79,Eastern Europe,HUN
20,Zambia,4.1,3.62,5.31,4.61,5.23,4.16,5.84,2.86,4.07,Sub-Sahara Africa ,ZMB
21,Indonesia,4.17,3.86,5.18,4.54,4.69,4.41,5.68,3.26,3.86,Southern Asia,IDN
22,Kazakhstan,3.66,3.57,5.31,4.29,3.99,3.57,5.26,3.84,4.46,Eastern Europe,KAZ
23,Zimbabwe,4.15,3.77,5.67,4.12,4.45,4.24,5.57,3.04,4.06,Sub-Sahara Africa ,ZWE
24,Qatar,3.99,3.78,4.73,4.5,4.42,3.45,4.71,3.63,4.11,Middle East,QAT
26,South Korea,3.55,3.97,5.61,5.2,3.81,4.55,5.54,2.5,4.4,Confucian Asia,KOR
27,Morocco,3.65,3.26,5.8,3.87,4.19,3.99,5.87,2.84,4.52,Middle East,MAR
28,Portugal,3.91,3.71,5.44,3.92,3.91,3.6,5.51,3.66,3.65,Latin Europe,PRT
29,China,4.94,3.74,5.04,4.77,4.36,4.45,5.8,3.05,3.76,Confucian Asia,CHN
31,Japan,4.07,4.29,5.11,5.19,4.3,4.22,4.63,3.19,3.59,Confucian Asia,JPN
32,Colombia,3.57,3.27,5.56,3.81,3.72,3.94,5.73,3.67,4.2,Latin America,COL
34,Albania,4.57,3.86,4.62,4.54,4.64,4.81,5.74,3.71,4.89,Eastern Europe,ALB
37,Finland,5.02,4.24,4.89,4.63,3.96,3.81,4.07,3.35,3.81,Nordic Europe,FIN
38,Poland,3.62,3.11,5.1,4.53,3.61,3.89,5.52,4.02,4.06,Eastern Europe,POL
41,Egypt,4.06,3.86,4.92,4.5,4.72,4.27,5.64,2.81,3.91,Middle East,EGY
42,Spain,3.97,3.51,5.52,3.85,3.32,4.01,5.45,3.01,4.42,Latin Europe,ESP
46,Guatemala,3.3,3.24,5.6,3.7,3.89,3.81,5.63,3.02,3.89,Latin America,GTM
48,Ireland,4.3,3.98,5.15,4.63,4.96,4.36,5.14,3.21,3.92,Anglo,IRL
49,Bolivia,3.35,3.61,4.51,4.04,4.05,3.61,5.47,3.55,3.79,Latin America,BOL
51,Austria,5.16,4.46,4.95,4.3,3.72,4.44,4.85,3.09,4.62,Germanic Europe,AUT
55,Switzerland,5.37,4.73,4.9,4.06,3.6,4.94,3.97,2.97,4.51,Germanic Europe,CHE
