,gname,country_txt,num_attacks,iso_alpha,ctr,country,pdi,idv,mas,uai,ltowvs,ivr
0,Abu Sayyaf Group (ASG),Malaysia,7,MYS,MAL,Malaysia,104,26,50,36,41,57
1,Abu Sayyaf Group (ASG),Philippines,45,PHL,PHI,Philippines,94,32,64,44,27,42
2,Al-Khobar,Philippines,2,PHL,PHI,Philippines,94,32,64,44,27,42
3,Ansar Al-Khilafa (Philippines),Philippines,1,PHL,PHI,Philippines,94,32,64,44,27,42
4,Bangsamoro Islamic Freedom Movement (BIFM),Philippines,94,PHL,PHI,Philippines,94,32,64,44,27,42
5,East Asia Division of the Islamic State,Philippines,7,PHL,PHI,Philippines,94,32,64,44,27,42
6,Islamic State of Iraq and the Levant (ISIL),Philippines,6,PHL,PHI,Philippines,94,32,64,44,27,42
7,Maute Group,Philippines,3,PHL,PHI,Philippines,94,32,64,44,27,42
8,Moro Islamic Liberation Front (MILF),Philippines,3,PHL,PHI,Philippines,94,32,64,44,27,42
9,Muslim extremists,Philippines,1,PHL,PHI,Philippines,94,32,64,44,27,42
10,Ahl al-Marouf,Iraq,6,IRQ,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17
11,Asa'ib Ahl al-Haqq,Iraq,5,IRQ,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17
12,Ashab al-Kahf,Iraq,6,IRQ,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17
13,Iran-backed militia,Iraq,29,IRQ,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17
14,Islamic State of Iraq and the Levant (ISIL),Iraq,1084,IRQ,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17
15,Kata'ib Hezbollah,Iraq,21,IRQ,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17
16,Rab'Allah,Iraq,2,IRQ,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17
17,Sadrist Movement,Iraq,5,IRQ,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17
18,Saraya al-Salam,Iraq,1,IRQ,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17
19,Shia Muslim extremists,Iraq,2,IRQ,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17
20,The Owners of the White Flags,Iraq,1,IRQ,IRQ,Iraq,#NULL!,#NULL!,#NULL!,#NULL!,25,17
21,Ahle Sunnat Wal Jamaat (ASWJ-Pakistan),Pakistan,1,PAK,PAK,Pakistan,55,14,50,70,50,0
22,Hafiz Gul Bahadur Group,Pakistan,1,PAK,PAK,Pakistan,55,14,50,70,50,0
23,Hizb-ul-Ahrar (HuA),Pakistan,26,PAK,PAK,Pakistan,55,14,50,70,50,0
24,Khorasan Chapter of the Islamic State,Pakistan,28,PAK,PAK,Pakistan,55,14,50,70,50,0
25,Lashkar-e-Jhangvi,Pakistan,2,PAK,PAK,Pakistan,55,14,50,70,50,0
26,Mullah Nazir Group,Pakistan,1,PAK,PAK,Pakistan,55,14,50,70,50,0
27,Muslim extremists,Pakistan,5,PAK,PAK,Pakistan,55,14,50,70,50,0
28,Pakistan Province of the Islamic State,Pakistan,6,PAK,PAK,Pakistan,55,14,50,70,50,0
29,Tehreek-e-Labbaik Pakistan (TLP),Pakistan,2,PAK,PAK,Pakistan,55,14,50,70,50,0
